"SampleID"	"Range"	"Haplogroup"	"Rank"	"Quality"
"HG00096"	"217 247 293 456 477 489 750 1048 1438 1719 1736 2158 2706 3010 3348 3394 3720 3915 3918 3970 3992 4336 4883 4917 4977 5004 5046 5442 5495 5773 6026 6045 6260 6680 7175 7768 8616 9072 9093 9377 9540 9667 9698 10034 10044 10310 10321 10398 10550 10589 10688 10873 11251 11377 11467 11899 11914 12308 12372 12630 12669 12705 13105 13263 13780 13789 14178 14233 15043 15535 15670 15758 15784 15924 15928 15930 16129 16145 16147 16162 16163 16270 16327 16391"	"H"	"1"	"1.0000"
"HG00097"	"217 247 293 456 477 489 750 1048 1438 1719 1736 2158 2706 3010 3348 3394 3720 3915 3918 3970 3992 4336 4883 4917 4977 5004 5046 5442 5495 5773 6026 6045 6260 6680 7175 7768 8616 9072 9093 9377 9540 9667 9698 10034 10044 10310 10321 10398 10550 10589 10688 10873 11251 11377 11467 11899 11914 12308 12372 12630 12669 12705 13105 13263 13780 13789 14178 14233 15043 15535 15670 15758 15784 15924 15928 15930 16129 16145 16147 16162 16163 16270 16327 16391"	"T2f1a"	"1"	"1.0000"
"HG00099"	"217 247 293 456 477 489 750 1048 1438 1719 1736 2158 2706 3010 3348 3394 3720 3915 3918 3970 3992 4336 4883 4917 4977 5004 5046 5442 5495 5773 6026 6045 6260 6680 7175 7768 8616 9072 9093 9377 9540 9667 9698 10034 10044 10310 10321 10398 10550 10589 10688 10873 11251 11377 11467 11899 11914 12308 12372 12630 12669 12705 13105 13263 13780 13789 14178 14233 15043 15535 15670 15758 15784 15924 15928 15930 16129 16145 16147 16162 16163 16270 16327 16391"	"H1"	"1"	"1.0000"
"HG00100"	"217 247 293 456 477 489 750 1048 1438 1719 1736 2158 2706 3010 3348 3394 3720 3915 3918 3970 3992 4336 4883 4917 4977 5004 5046 5442 5495 5773 6026 6045 6260 6680 7175 7768 8616 9072 9093 9377 9540 9667 9698 10034 10044 10310 10321 10398 10550 10589 10688 10873 11251 11377 11467 11899 11914 12308 12372 12630 12669 12705 13105 13263 13780 13789 14178 14233 15043 15535 15670 15758 15784 15924 15928 15930 16129 16145 16147 16162 16163 16270 16327 16391"	"N1'5"	"1"	"1.0000"
"HG00101"	"217 247 293 456 477 489 750 1048 1438 1719 1736 2158 2706 3010 3348 3394 3720 3915 3918 3970 3992 4336 4883 4917 4977 5004 5046 5442 5495 5773 6026 6045 6260 6680 7175 7768 8616 9072 9093 9377 9540 9667 9698 10034 10044 10310 10321 10398 10550 10589 10688 10873 11251 11377 11467 11899 11914 12308 12372 12630 12669 12705 13105 13263 13780 13789 14178 14233 15043 15535 15670 15758 15784 15924 15928 15930 16129 16145 16147 16162 16163 16270 16327 16391"	"J1"	"1"	"1.0000"
"HG00102"	"217 247 293 456 477 489 750 1048 1438 1719 1736 2158 2706 3010 3348 3394 3720 3915 3918 3970 3992 4336 4883 4917 4977 5004 5046 5442 5495 5773 6026 6045 6260 6680 7175 7768 8616 9072 9093 9377 9540 9667 9698 10034 10044 10310 10321 10398 10550 10589 10688 10873 11251 11377 11467 11899 11914 12308 12372 12630 12669 12705 13105 13263 13780 13789 14178 14233 15043 15535 15670 15758 15784 15924 15928 15930 16129 16145 16147 16162 16163 16270 16327 16391"	"H"	"1"	"1.0000"
"HG00103"	"217 247 293 456 477 489 750 1048 1438 1719 1736 2158 2706 3010 3348 3394 3720 3915 3918 3970 3992 4336 4883 4917 4977 5004 5046 5442 5495 5773 6026 6045 6260 6680 7175 7768 8616 9072 9093 9377 9540 9667 9698 10034 10044 10310 10321 10398 10550 10589 10688 10873 11251 11377 11467 11899 11914 12308 12372 12630 12669 12705 13105 13263 13780 13789 14178 14233 15043 15535 15670 15758 15784 15924 15928 15930 16129 16145 16147 16162 16163 16270 16327 16391"	"J1"	"1"	"1.0000"
"HG00105"	"217 247 293 456 477 489 750 1048 1438 1719 1736 2158 2706 3010 3348 3394 3720 3915 3918 3970 3992 4336 4883 4917 4977 5004 5046 5442 5495 5773 6026 6045 6260 6680 7175 7768 8616 9072 9093 9377 9540 9667 9698 10034 10044 10310 10321 10398 10550 10589 10688 10873 11251 11377 11467 11899 11914 12308 12372 12630 12669 12705 13105 13263 13780 13789 14178 14233 15043 15535 15670 15758 15784 15924 15928 15930 16129 16145 16147 16162 16163 16270 16327 16391"	"H1"	"1"	"1.0000"
"HG00106"	"217 247 293 456 477 489 750 1048 1438 1719 1736 2158 2706 3010 3348 3394 3720 3915 3918 3970 3992 4336 4883 4917 4977 5004 5046 5442 5495 5773 6026 6045 6260 6680 7175 7768 8616 9072 9093 9377 9540 9667 9698 10034 10044 10310 10321 10398 10550 10589 10688 10873 11251 11377 11467 11899 11914 12308 12372 12630 12669 12705 13105 13263 13780 13789 14178 14233 15043 15535 15670 15758 15784 15924 15928 15930 16129 16145 16147 16162 16163 16270 16327 16391"	"J"	"1"	"1.0000"
"HG00107"	"217 247 293 456 477 489 750 1048 1438 1719 1736 2158 2706 3010 3348 3394 3720 3915 3918 3970 3992 4336 4883 4917 4977 5004 5046 5442 5495 5773 6026 6045 6260 6680 7175 7768 8616 9072 9093 9377 9540 9667 9698 10034 10044 10310 10321 10398 10550 10589 10688 10873 11251 11377 11467 11899 11914 12308 12372 12630 12669 12705 13105 13263 13780 13789 14178 14233 15043 15535 15670 15758 15784 15924 15928 15930 16129 16145 16147 16162 16163 16270 16327 16391"	"J1"	"1"	"1.0000"
