"","Individual","WGS","chip","typed","imputed","match.t","match.i"
"65","HG00181","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"66","HG00182","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"67","HG00183","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"68","HG00185","K1","InfiniumOmniExpressExome-8v1-4_A1-b37","K1","K1",TRUE,TRUE
"69","HG00186","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"70","HG00187","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"71","HG00188","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"72","HG00189","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"73","HG00190","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"74","HG00231","W","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"75","HG00232","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"76","HG00233","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"77","HG00234","T","InfiniumOmniExpressExome-8v1-4_A1-b37","T","T",TRUE,TRUE
"78","HG00235","J","InfiniumOmniExpressExome-8v1-4_A1-b37","J","J",TRUE,TRUE
"79","HG00236","K","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",FALSE,FALSE
"80","HG00237","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"81","HG00238","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"82","HG00239","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"83","HG00240","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"84","HG00242","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"85","HG00243","K","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",FALSE,FALSE
"86","HG00244","X2","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"87","HG00245","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"88","HG00246","T","InfiniumOmniExpressExome-8v1-4_A1-b37","T","T",TRUE,TRUE
"89","HG00250","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"90","HG00251","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"91","HG00252","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
