"","Individual","WGS","chip","typed","imputed","match.t","match.i"
"274","HG00651","D4","InfiniumOmniExpressExome-8v1-4_A1-b37","D4","D4",TRUE,TRUE
"275","HG00653","L3","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",TRUE,TRUE
"276","HG00654","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"277","HG00656","A","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"278","HG00657","D","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"279","HG00662","D4","InfiniumOmniExpressExome-8v1-4_A1-b37","D4","D4",TRUE,TRUE
"280","HG00663","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"281","HG00671","D4","InfiniumOmniExpressExome-8v1-4_A1-b37","D4","D4",TRUE,TRUE
"282","HG00672","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"283","HG00674","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"284","HG00675","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"285","HG00683","M","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"286","HG00684","D","InfiniumOmniExpressExome-8v1-4_A1-b37","H2","H2",FALSE,FALSE
"287","HG00689","M","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"288","HG00690","B5","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"289","HG00692","M","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"290","HG00693","D4","InfiniumOmniExpressExome-8v1-4_A1-b37","D4","D4",TRUE,TRUE
"291","HG00698","D4","InfiniumOmniExpressExome-8v1-4_A1-b37","D4","D4",TRUE,TRUE
"292","HG00699","D4","InfiniumOmniExpressExome-8v1-4_A1-b37","D4","D4",TRUE,TRUE
"293","HG00701","M","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"294","HG00702","D","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"295","HG00704","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"296","HG00705","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"297","HG00707","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"298","HG00708","B5","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"299","HG00717","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"300","HG00728","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"301","HG00729","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"302","HG00731","A2","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"303","HG00732","A2","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"304","HG00733","A2","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"305","HG00734","C","InfiniumOmniExpressExome-8v1-4_A1-b37","C","C",TRUE,TRUE
"306","HG00736","A2","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"307","HG00737","C","InfiniumOmniExpressExome-8v1-4_A1-b37","C","C",TRUE,TRUE
"308","HG00739","L3","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",TRUE,TRUE
