"","Individual","WGS","chip","typed","imputed","match.t","match.i"
"1","HG00096","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"2","HG00097","T","HumanOmni1S-8v1_H-b37","T","T",TRUE,TRUE
"3","HG00099","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"4","HG00100","X2","HumanOmni1S-8v1_H-b37","N","N",FALSE,FALSE
"5","HG00101","J","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"6","HG00102","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"7","HG00103","J","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"8","HG00105","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"9","HG00106","J","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"10","HG00107","J","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"11","HG00108","X2","HumanOmni1S-8v1_H-b37","N","N",FALSE,FALSE
"12","HG00109","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"13","HG00110","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"14","HG00111","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"15","HG00112","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"16","HG00113","X2","HumanOmni1S-8v1_H-b37","N","N",FALSE,FALSE
"17","HG00114","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"18","HG00115","T","HumanOmni1S-8v1_H-b37","T","T",TRUE,TRUE
"19","HG00116","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"20","HG00117","J","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"21","HG00118","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"22","HG00119","T1","HumanOmni1S-8v1_H-b37","T","T",FALSE,FALSE
"23","HG00120","J","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"24","HG00121","K1","HumanOmni1S-8v1_H-b37","K1","K1",TRUE,TRUE
"25","HG00122","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"26","HG00123","H2a","HumanOmni1S-8v1_H-b37","H2","H2",FALSE,FALSE
"27","HG00124","I","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"28","HG00125","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"29","HG00126","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"30","HG00127","H2a2a","HumanOmni1S-8v1_H-b37","H2","H2",FALSE,FALSE
"31","HG00128","K","HumanOmni1S-8v1_H-b37","K","K",TRUE,TRUE
"32","HG00129","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"33","HG00130","X2","HumanOmni1S-8v1_H-b37","N","N",FALSE,FALSE
"34","HG00131","H2a2a","HumanOmni1S-8v1_H-b37","H2","H2",FALSE,FALSE
"35","HG00132","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"36","HG00133","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"37","HG00136","T","HumanOmni1S-8v1_H-b37","T","T",TRUE,TRUE
"38","HG00137","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"39","HG00138","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"40","HG00139","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"41","HG00140","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"42","HG00141","T","HumanOmni1S-8v1_H-b37","T","T",TRUE,TRUE
"43","HG00142","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"44","HG00143","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"45","HG00145","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"46","HG00146","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"47","HG00148","W","HumanOmni1S-8v1_H-b37","N","N",FALSE,FALSE
"48","HG00149","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"49","HG00150","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"50","HG00151","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"51","HG00154","I","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"52","HG00155","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"53","HG00157","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"54","HG00158","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"55","HG00159","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"56","HG00160","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"57","HG00171","V","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"58","HG00173","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"59","HG00174","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"60","HG00176","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"61","HG00177","K1","HumanOmni1S-8v1_H-b37","K1","K1",TRUE,TRUE
"62","HG00178","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
