"","Individual","WGS","chip","typed","imputed","match.t","match.i"
"63","HG00179","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"64","HG00180","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"65","HG00181","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"66","HG00182","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"67","HG00183","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"68","HG00185","K1","HumanOmni1S-8v1_H-b37","K1","K1",TRUE,TRUE
"69","HG00186","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"70","HG00187","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"71","HG00188","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"72","HG00189","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"73","HG00190","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"74","HG00231","W","HumanOmni1S-8v1_H-b37","N","N",FALSE,FALSE
"75","HG00232","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"76","HG00233","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"77","HG00234","T","HumanOmni1S-8v1_H-b37","T","T",TRUE,TRUE
"78","HG00235","J","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"79","HG00236","K","HumanOmni1S-8v1_H-b37","K","K",TRUE,TRUE
"80","HG00237","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"81","HG00238","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"82","HG00239","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"83","HG00240","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"84","HG00242","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"85","HG00243","K","HumanOmni1S-8v1_H-b37","K","K",TRUE,TRUE
"86","HG00244","X2","HumanOmni1S-8v1_H-b37","N","N",FALSE,FALSE
"87","HG00245","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"88","HG00246","T","HumanOmni1S-8v1_H-b37","T","T",TRUE,TRUE
"89","HG00250","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"90","HG00251","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"91","HG00252","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"92","HG00253","I","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"93","HG00254","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"94","HG00255","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"95","HG00256","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"96","HG00257","JT","HumanOmni1S-8v1_H-b37","JT","JT",TRUE,TRUE
"97","HG00258","J","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"98","HG00259","T","HumanOmni1S-8v1_H-b37","T","T",TRUE,TRUE
"99","HG00260","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"100","HG00261","J","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"101","HG00262","T","HumanOmni1S-8v1_H-b37","T","T",TRUE,TRUE
"102","HG00263","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"103","HG00264","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"104","HG00265","T","HumanOmni1S-8v1_H-b37","T","T",TRUE,TRUE
"105","HG00266","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"106","HG00267","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"107","HG00268","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"108","HG00269","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"109","HG00271","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"110","HG00272","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"111","HG00273","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"112","HG00274","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"113","HG00275","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"114","HG00276","J","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"115","HG00277","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"116","HG00278","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"117","HG00280","X2","HumanOmni1S-8v1_H-b37","N","N",FALSE,FALSE
"118","HG00281","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"119","HG00282","V","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"120","HG00284","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"121","HG00285","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"122","HG00288","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"123","HG00290","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"124","HG00304","H2a","HumanOmni1S-8v1_H-b37","H2","H2",FALSE,FALSE
"125","HG00306","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"126","HG00308","W","HumanOmni1S-8v1_H-b37","N","N",FALSE,FALSE
"127","HG00309","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"128","HG00310","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"129","HG00311","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"130","HG00313","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"131","HG00315","J","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"132","HG00318","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"133","HG00319","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"134","HG00320","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"135","HG00321","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"136","HG00323","V","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"137","HG00324","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"138","HG00325","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"139","HG00326","K1","HumanOmni1S-8v1_H-b37","K1","K1",TRUE,TRUE
"140","HG00327","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"141","HG00328","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"142","HG00329","I","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"143","HG00330","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"144","HG00331","K1","HumanOmni1S-8v1_H-b37","K1","K1",TRUE,TRUE
"145","HG00332","J","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"146","HG00334","J","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"147","HG00335","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"148","HG00336","W","HumanOmni1S-8v1_H-b37","N","N",FALSE,FALSE
"149","HG00337","T","HumanOmni1S-8v1_H-b37","T","T",TRUE,TRUE
"150","HG00338","J","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"151","HG00339","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"152","HG00341","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"153","HG00342","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"154","HG00343","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"155","HG00344","T","HumanOmni1S-8v1_H-b37","T","T",TRUE,TRUE
"156","HG00345","V","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"157","HG00346","K1","HumanOmni1S-8v1_H-b37","K1","K1",TRUE,TRUE
"158","HG00349","K1","HumanOmni1S-8v1_H-b37","K1","K1",TRUE,TRUE
"159","HG00350","HV","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"160","HG00351","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"161","HG00353","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"162","HG00355","J","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"163","HG00356","T","HumanOmni1S-8v1_H-b37","T","T",TRUE,TRUE
"164","HG00357","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"165","HG00358","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"166","HG00360","H2a","HumanOmni1S-8v1_H-b37","H2","H2",FALSE,FALSE
"167","HG00361","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"168","HG00362","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"169","HG00364","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"170","HG00365","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"171","HG00366","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"172","HG00367","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"173","HG00368","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"174","HG00369","I","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"175","HG00371","X2","HumanOmni1S-8v1_H-b37","N","N",FALSE,FALSE
"176","HG00372","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"177","HG00373","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"178","HG00375","J","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"179","HG00376","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"180","HG00378","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"181","HG00379","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"182","HG00380","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"183","HG00381","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"184","HG00382","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"185","HG00383","H","HumanOmni1S-8v1_H-b37","R","R",FALSE,FALSE
"186","HG00384","U","HumanOmni1S-8v1_H-b37","U","U",TRUE,TRUE
"187","HG00403","M","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"188","HG00404","B5","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"189","HG00406","N","HumanOmni1S-8v1_H-b37","N","N",TRUE,TRUE
"190","HG00407","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"191","HG00409","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"192","HG00410","M","HumanOmni1S-8v1_H-b37","L0","L0",FALSE,FALSE
"193","HG00419","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"194","HG00421","D4","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"195","HG00422","N","HumanOmni1S-8v1_H-b37","N","N",TRUE,TRUE
"196","HG00428","C","HumanOmni1S-8v1_H-b37","C","C",TRUE,TRUE
"197","HG00436","M","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"198","HG00437","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"199","HG00442","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"200","HG00443","M","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"201","HG00445","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"202","HG00446","B4b'd'e","HumanOmni1S-8v1_H-b37","B4b'd'e","B4b'd'e",TRUE,TRUE
"203","HG00448","M","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"204","HG00449","L3","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"205","HG00451","A","HumanOmni1S-8v1_H-b37","A","A",TRUE,TRUE
"206","HG00452","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"207","HG00457","M","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"208","HG00458","B5","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"209","HG00463","M","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"210","HG00464","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"211","HG00472","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"212","HG00473","D","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"213","HG00475","D","HumanOmni1S-8v1_H-b37","N","N",FALSE,FALSE
"214","HG00476","M","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"215","HG00478","D4","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"216","HG00479","N","HumanOmni1S-8v1_H-b37","N","N",TRUE,TRUE
"217","HG00500","N","HumanOmni1S-8v1_H-b37","N","N",TRUE,TRUE
"218","HG00501","M","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"219","HG00513","L3","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"220","HG00524","M","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"221","HG00525","M","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"222","HG00530","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"223","HG00531","N","HumanOmni1S-8v1_H-b37","N","N",TRUE,TRUE
"224","HG00533","B4b'd'e","HumanOmni1S-8v1_H-b37","B4b'd'e","B4b'd'e",TRUE,TRUE
"225","HG00534","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"226","HG00536","L3","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"227","HG00537","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"228","HG00542","B5","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"229","HG00543","B5","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"230","HG00551","A2","HumanOmni1S-8v1_H-b37","A","A",FALSE,FALSE
"231","HG00553","A2","HumanOmni1S-8v1_H-b37","A","A",FALSE,FALSE
"232","HG00554","L1b","HumanOmni1S-8v1_H-b37","L1b","L1b",TRUE,TRUE
"233","HG00556","N","HumanOmni1S-8v1_H-b37","N","N",TRUE,TRUE
"234","HG00557","N","HumanOmni1S-8v1_H-b37","N","N",TRUE,TRUE
"235","HG00559","M","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"236","HG00560","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"237","HG00565","A","HumanOmni1S-8v1_H-b37","A","A",TRUE,TRUE
"238","HG00566","A","HumanOmni1S-8v1_H-b37","A","A",TRUE,TRUE
"239","HG00580","D","HumanOmni1S-8v1_H-b37","N","N",FALSE,FALSE
"240","HG00581","D4","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"241","HG00583","D4","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"242","HG00584","N","HumanOmni1S-8v1_H-b37","N","N",TRUE,TRUE
"243","HG00589","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"244","HG00590","C","HumanOmni1S-8v1_H-b37","C","C",TRUE,TRUE
"245","HG00592","N","HumanOmni1S-8v1_H-b37","N","N",TRUE,TRUE
"246","HG00593","M","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"247","HG00595","D","HumanOmni1S-8v1_H-b37","N","N",FALSE,FALSE
"248","HG00596","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"249","HG00598","M","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"250","HG00599","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"251","HG00607","M","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"252","HG00608","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"253","HG00610","B5","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"254","HG00611","M","HumanOmni1S-8v1_H-b37","L0","L0",FALSE,FALSE
"255","HG00613","D4","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"256","HG00614","M","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"257","HG00619","D4","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"258","HG00620","N","HumanOmni1S-8v1_H-b37","N","N",TRUE,TRUE
"259","HG00622","M","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"260","HG00623","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"261","HG00625","D4","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"262","HG00626","M","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"263","HG00628","D","HumanOmni1S-8v1_H-b37","N","N",FALSE,FALSE
"264","HG00629","D4","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"265","HG00631","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"266","HG00632","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"267","HG00634","A","HumanOmni1S-8v1_H-b37","A","A",TRUE,TRUE
"268","HG00635","D4","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"269","HG00637","A2","HumanOmni1S-8v1_H-b37","A","A",FALSE,FALSE
"270","HG00638","A2","HumanOmni1S-8v1_H-b37","A","A",FALSE,FALSE
"271","HG00640","B2","HumanOmni1S-8v1_H-b37","B2","B2",TRUE,TRUE
"272","HG00641","C","HumanOmni1S-8v1_H-b37","C","C",TRUE,TRUE
"273","HG00650","M","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"274","HG00651","D4","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"275","HG00653","L3","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"276","HG00654","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"277","HG00656","A","HumanOmni1S-8v1_H-b37","A","A",TRUE,TRUE
"278","HG00657","D","HumanOmni1S-8v1_H-b37","N","N",FALSE,FALSE
"279","HG00662","D4","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"280","HG00663","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"281","HG00671","D4","HumanOmni1S-8v1_H-b37","L1","L1",FALSE,FALSE
"282","HG00672","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"283","HG00674","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"284","HG00675","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"285","HG00683","M","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"286","HG00684","D","HumanOmni1S-8v1_H-b37","N","N",FALSE,FALSE
"287","HG00689","M","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"288","HG00690","B5","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"289","HG00692","M","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"290","HG00693","D4","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"291","HG00698","D4","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"292","HG00699","D4","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"293","HG00701","M","HumanOmni1S-8v1_H-b37","L0","L0",FALSE,FALSE
"294","HG00702","D","HumanOmni1S-8v1_H-b37","N","N",FALSE,FALSE
"295","HG00704","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"296","HG00705","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"297","HG00707","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"298","HG00708","B5","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"299","HG00717","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"300","HG00728","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"301","HG00729","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
"302","HG00731","A2","HumanOmni1S-8v1_H-b37","A","A",FALSE,FALSE
"303","HG00732","A2","HumanOmni1S-8v1_H-b37","A","A",FALSE,FALSE
"304","HG00733","A2","HumanOmni1S-8v1_H-b37","A","A",FALSE,FALSE
"305","HG00734","C","HumanOmni1S-8v1_H-b37","C","C",TRUE,TRUE
"306","HG00736","A2","HumanOmni1S-8v1_H-b37","A","A",FALSE,FALSE
"307","HG00737","C","HumanOmni1S-8v1_H-b37","C","C",TRUE,TRUE
"308","HG00739","L3","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"309","HG00740","L1b","HumanOmni1S-8v1_H-b37","L1b","L1b",TRUE,TRUE
"310","HG00742","C","HumanOmni1S-8v1_H-b37","C","C",TRUE,TRUE
"311","HG00743","C","HumanOmni1S-8v1_H-b37","C","C",TRUE,TRUE
"312","HG00759","M","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"313","HG00766","D4","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"314","HG00844","C","HumanOmni1S-8v1_H-b37","C","C",TRUE,TRUE
"315","HG00851","D4","HumanOmni1S-8v1_H-b37","unclassified","unclassified",FALSE,FALSE
"316","HG00864","C","HumanOmni1S-8v1_H-b37","C","C",TRUE,TRUE
"317","HG00867","R","HumanOmni1S-8v1_H-b37","R","R",TRUE,TRUE
