"SampleID"	"Range"	"Haplogroup"	"Rank"	"Quality"
"HG00096"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00097"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00099"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00100"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00101"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00102"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00103"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00105"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00106"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00107"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00108"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00109"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00110"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00111"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00112"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00113"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00114"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00115"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00116"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00117"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00118"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00119"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00120"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00121"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00122"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00123"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00124"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00125"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00126"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00127"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00128"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00129"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00130"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00131"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00132"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00133"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00136"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00137"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00138"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00139"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00140"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00141"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00142"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00143"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00145"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00146"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00148"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00149"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00150"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00151"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00154"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00155"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00157"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00158"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00159"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00160"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00171"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00173"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00174"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00176"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00177"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00178"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00179"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00180"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00181"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00182"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00183"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00185"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00186"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00187"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00188"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00189"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00190"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00231"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00232"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00233"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00234"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00235"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00236"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00237"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00238"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00239"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00240"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00242"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00243"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00244"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00245"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00246"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00250"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00251"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00252"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00253"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00254"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00255"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00256"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00257"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00258"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00259"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00260"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00261"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00262"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00263"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00264"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00265"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00266"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00267"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00268"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00269"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00271"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00272"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00273"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00274"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00275"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00276"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00277"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00278"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00280"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00281"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00282"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00284"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00285"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00288"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00290"	"3720"	"H2a2a1"	"1"	"0.5000"
"HG00304"	"3720"	"H2a2a1"	"1"	"0.5000"
