MCMC$MCMC,MCMC$Imputed.hg.Conc.mean,MCMC$Imputed.hg.Conc.lower,MCMC$Imputed.hg.Conc.upper,MCMC$Imputed.hg.Conc.df
1,0.893421741542741,0.874738374325732,0.912105108759751,100
5,0.893429556057421,0.874761488469284,0.912097623645558,100
10,0.893730414872584,0.875061535154455,0.912399294590714,100
20,0.893488164917518,0.874847747382411,0.912128582452625,100
30,0.893910148710214,0.875246039175035,0.912574258245394,100
