MAF$MAF,MAF$diff.mean,MAF$diff.lower,MAF$diff.upper,MAF$diff.df
0.001,0.434969846974353,0.408952897120624,0.460986796828082,102
0.005,0.446222634309316,0.418968607370795,0.473476661247837,102
0.01,0.427196073987825,0.400965998118353,0.453426149857297,100
