kHAP$kHAP,kHAP$Imputed.hg.Conc.mean,kHAP$Imputed.hg.Conc.lower,kHAP$Imputed.hg.Conc.upper,kHAP$Imputed.hg.Conc.df
100,0.891366524182016,0.871301121946857,0.911431926417175,100
250,0.891081294396211,0.871084217337605,0.911078371454818,100
500,0.893402205256043,0.874794072688702,0.912010337823383,100
1000,0.887549133761048,0.868981818804652,0.906116448717444,100
2500,0.881887517875702,0.867328548172863,0.896446487578542,100
5000,0.81785538459134,0.800171052425297,0.835539716757383,100
10000,0.767342361702626,0.750103520106483,0.78458120329877,100
20000,0.758324411762408,0.73731633017681,0.779332493348005,100
30000,0.843725335438043,0.832551631962553,0.854899038913533,100
