MAF$MAF,MAF$Typed.hg.Conc.mean,MAF$Typed.hg.Conc.lower,MAF$Typed.hg.Conc.upper,MAF$Typed.hg.Conc.df
0.001,0.450873939663297,0.414292079553209,0.487455799773386,102
0.005,0.451410334020429,0.41512146830018,0.487699199740677,102
0.01,0.466456195737964,0.434449578886147,0.49846281258978,100
