MCMC$MCMC,MCMC$diff.mean,MCMC$diff.lower,MCMC$diff.upper,MCMC$diff.df
1,0.426695945048333,0.400570127845298,0.452821762251367,100
5,0.426883493400642,0.400702519445379,0.453064467355906,100
10,0.427184352215806,0.400950345118013,0.453418359313598,100
20,0.427031969179554,0.400835948967781,0.453227989391328,100
30,0.427453952972251,0.40119452237542,0.453713383569081,100
