MCMC$MCMC,MCMC$Typed.hg.Conc.mean,MCMC$Typed.hg.Conc.lower,MCMC$Typed.hg.Conc.upper,MCMC$Typed.hg.Conc.df
1,0.466725796494409,0.434646711192903,0.498804881795914,100
5,0.466546062656779,0.434483548154533,0.498608577159025,100
10,0.466546062656779,0.434483548154533,0.498608577159025,100
20,0.466456195737964,0.434449578886147,0.49846281258978,100
30,0.466456195737964,0.434449578886147,0.49846281258978,100
