kHAP$kHAP,kHAP$Typed.hg.Conc.mean,kHAP$Typed.hg.Conc.lower,kHAP$Typed.hg.Conc.upper,kHAP$Typed.hg.Conc.df
100,0.441219220580306,0.406960913744789,0.475477527415822,100
250,0.459239491431385,0.426674147702029,0.49180483516074,100
500,0.466456195737964,0.434449578886147,0.49846281258978,100
1000,0.469792993506138,0.437353406424627,0.50223258058765,100
2500,0.49172442895434,0.456333737899645,0.527115120009035,100
5000,0.519395625434682,0.48468929655539,0.554101954313975,100
10000,0.557135824079645,0.522364812077871,0.59190683608142,100
20000,0.576984691365743,0.543130546801863,0.610838835929622,100
30000,0.666933662584885,0.635688581867292,0.698178743302478,100
