MAF$MAF,MAF$Imputed.hg.Conc.mean,MAF$Imputed.hg.Conc.lower,MAF$Imputed.hg.Conc.upper,MAF$Imputed.hg.Conc.df
0.001,0.88584378663765,0.861659816908828,0.910027756366472,102
0.005,0.897632968329745,0.87806102990225,0.91720490675724,102
0.01,0.893652269725789,0.875011365670623,0.912293173780955,100
