k_hap,emmean,SE,df,lower.CL,upper.CL
khap_100,-0.0035265013636329675,0.0010328496010870512,900,-0.005553575429637574,-0.0014994272976283619
khap_250,-0.005024142943102677,0.0010328496010870518,900,-0.007051217009107285,-0.0029970688770980703
khap_500,-0.007533906397743282,0.0010328496010870538,900,-0.009560980463747893,-0.005506832331738671
khap_1000,-0.010174168340275272,0.0010328496010870525,900,-0.01220124240627988,-0.008147094274270664
khap_2500,-0.017432695147967817,0.0010328496010870516,900,-0.019459769213972425,-0.01540562108196321
khap_5000,-0.024454690662436347,0.001032849601087055,900,-0.026481764728440958,-0.022427616596431735
khap_10000,-0.033396347495838676,0.0010328496010870536,900,-0.035423421561843284,-0.03136927342983407
khap_20000,-0.03768786171434813,0.0010328496010870508,900,-0.039714935780352734,-0.03566078764834353
khap_30000,-0.02003980479342324,0.0010328496010870475,900,-0.02206687885942784,-0.018012730727418644
