refpan_maf,emmean,SE,df,lower.CL,upper.CL
MAF>1%,-0.007551987231083014,8.804270737855386e-4,299,-0.009284605791034245,-0.005819368671131784
MAF>0.5%,-0.0062459548202695794,8.718373359555827e-4,299,-0.007961669380295744,-0.004530240260243415
MAF>0.1%,-0.006679472078927139,8.938014152912515e-4,299,-0.008438410402331679,-0.0049205337555226
