"SampleID"	"Range"	"Haplogroup"	"Rank"	"Quality"
"AP008464.1"	"1-16569"	"N9"	"1"	"0.8479"
"AP008466.1"	"1-16569"	"M7"	"1"	"0.9439"
"AP008467.1"	"1-16569"	"D4b"	"1"	"0.9602"
"AP008468.1"	"1-16569"	"D4"	"1"	"0.9869"
"AP008469.1"	"1-16569"	"M7b1a1a"	"1"	"0.9759"
"AP008471.1"	"1-16569"	"A"	"1"	"0.9431"
"AP008473.1"	"1-16569"	"F1+16189"	"1"	"0.9288"
"AP008474.1"	"1-16569"	"N9"	"1"	"0.9372"
"AP008475.1"	"1-16569"	"F1a1"	"1"	"0.9721"
"AP008476.1"	"1-16569"	"D4b"	"1"	"0.9709"
"AP008477.1"	"1-16569"	"D4b"	"1"	"0.9631"
"AP008478.1"	"1-16569"	"F1+16189"	"1"	"0.9288"
"AP008479.1"	"1-16569"	"D4"	"1"	"0.9685"
"AP008480.1"	"1-16569"	"D4b"	"1"	"0.9872"
"AP008481.1"	"1-16569"	"D4"	"1"	"0.9849"
"AP008483.1"	"1-16569"	"M7"	"1"	"0.9274"
"AP008484.1"	"1-16569"	"G2"	"1"	"0.9387"
"AP008485.1"	"1-16569"	"M7b1a1a"	"1"	"0.9810"
"AP008486.1"	"1-16569"	"D5a2a+16092"	"1"	"0.9090"
"AP008487.1"	"1-16569"	"D4b"	"1"	"0.9736"
"AP008489.1"	"1-16569"	"D4b"	"1"	"0.9706"
"AP008490.1"	"1-16569"	"F1+16189"	"1"	"0.9288"
"AP008493.1"	"1-16569"	"D4"	"1"	"0.9817"
"AP008494.1"	"1-16569"	"D4+195"	"1"	"0.9498"
"AP008495.1"	"1-16569"	"M13'46'61"	"1"	"0.9371"
"AP008496.1"	"1-16569"	"D4"	"1"	"0.9806"
"AP008497.1"	"1-16569"	"D4"	"1"	"0.9602"
"AP008498.1"	"1-16569"	"F1+16189"	"1"	"0.8964"
"AP008499.1"	"1-16569"	"D4b"	"1"	"0.9616"
"AP008500.1"	"1-16569"	"G"	"1"	"0.9445"
"AP008501.1"	"1-16569"	"D4"	"1"	"0.9685"
"AP008502.1"	"1-16569"	"D4b"	"1"	"0.9714"
"AP008503.1"	"1-16569"	"M7"	"1"	"0.9537"
"AP008504.1"	"1-16569"	"N9"	"1"	"0.9234"
"AP008505.1"	"1-16569"	"G2"	"1"	"0.9458"
"AP008506.1"	"1-16569"	"D4b"	"1"	"0.9768"
"AP008507.1"	"1-16569"	"M7"	"1"	"0.9396"
"AP008508.1"	"1-16569"	"F1+16189"	"1"	"0.9218"
"AP008509.1"	"1-16569"	"M7"	"1"	"0.9521"
"AP008510.1"	"1-16569"	"A"	"1"	"0.9551"
"AP008511.1"	"1-16569"	"G"	"1"	"0.9639"
"AP008513.1"	"1-16569"	"N9a2'4'5'11"	"1"	"0.9193"
"AP008514.1"	"1-16569"	"M7b1a1a"	"1"	"0.9737"
"AP008515.1"	"1-16569"	"G2"	"1"	"0.9458"
"AP008517.1"	"1-16569"	"M7"	"1"	"0.9570"
"AP008519.1"	"1-16569"	"D+16189"	"1"	"0.8912"
"AP008520.1"	"1-16569"	"D4b"	"1"	"0.9567"
"AP008522.1"	"1-16569"	"N9a2'4'5'11"	"1"	"0.9342"
"AP008523.1"	"1-16569"	"D4b"	"1"	"0.9667"
"AP008524.1"	"1-16569"	"D4"	"1"	"0.9707"
"AP008525.1"	"1-16569"	"N9a2'4'5'11"	"1"	"0.9059"
"AP008526.1"	"1-16569"	"D4b"	"1"	"0.9507"
"AP008527.1"	"1-16569"	"D4"	"1"	"0.9588"
"AP008528.1"	"1-16569"	"G2"	"1"	"0.9411"
"AP008529.1"	"1-16569"	"N9"	"1"	"0.9143"
"AP008530.1"	"1-16569"	"D4"	"1"	"0.9869"
"AP008531.1"	"1-16569"	"M8a"	"1"	"0.9701"
"AP008532.1"	"1-16569"	"A"	"1"	"0.9551"
"AP008533.1"	"1-16569"	"D4+195"	"1"	"0.9632"
"AP008534.1"	"1-16569"	"Y1"	"1"	"0.8951"
"AP008535.1"	"1-16569"	"G2"	"1"	"0.9398"
"AP008536.1"	"1-16569"	"D5a2a+16092"	"1"	"0.9034"
"AP008537.1"	"1-16569"	"G"	"1"	"0.9540"
"AP008538.1"	"1-16569"	"A"	"1"	"0.9829"
"AP008539.1"	"1-16569"	"D4"	"1"	"0.9491"
"AP008541.1"	"1-16569"	"M7b1a1a"	"1"	"0.9810"
"AP008542.1"	"1-16569"	"D4"	"1"	"0.9640"
"AP008543.1"	"1-16569"	"D4+195"	"1"	"0.9529"
"AP008544.1"	"1-16569"	"D4"	"1"	"0.9512"
"AP008545.1"	"1-16569"	"D4"	"1"	"0.9648"
"AP008547.1"	"1-16569"	"A"	"1"	"0.9509"
"AP008548.1"	"1-16569"	"M7"	"1"	"0.9574"
"AP008549.1"	"1-16569"	"D4b"	"1"	"0.9768"
"AP008551.1"	"1-16569"	"D4"	"1"	"0.9677"
"AP008553.1"	"1-16569"	"M8"	"1"	"0.9367"
"AP008554.1"	"1-16569"	"N9a2'4'5'11"	"1"	"0.9273"
"AP008555.1"	"1-16569"	"M7b1a1a"	"1"	"0.9810"
"AP008556.1"	"1-16569"	"N9"	"1"	"0.9345"
"AP008557.1"	"1-16569"	"D4"	"1"	"0.9738"
"AP008558.1"	"1-16569"	"N9a2'4'5'11"	"1"	"0.9387"
"AP008559.1"	"1-16569"	"D4"	"1"	"0.9512"
"AP008560.1"	"1-16569"	"D4"	"1"	"0.9580"
"AP008561.1"	"1-16569"	"D4b"	"1"	"0.9699"
"AP008562.1"	"1-16569"	"A"	"1"	"0.9633"
"AP008564.1"	"1-16569"	"D4"	"1"	"0.9869"
"AP008565.1"	"1-16569"	"D4"	"1"	"0.9655"
"AP008568.1"	"1-16569"	"D+16189"	"1"	"0.9117"
"AP008569.1"	"1-16569"	"G2"	"1"	"0.9398"
"AP008571.1"	"1-16569"	"M7b1a1a"	"1"	"0.9720"
"AP008572.1"	"1-16569"	"D5b1a2"	"1"	"0.9047"
