chip,A,A2,B2,B4b'd'e,B5,C,D,D1,D4,H,H2,H2a,H2a2a,HV,I,J,JT,K,K1,L0,L1,L1b,L2,L2'3'4'5'6,L3,L3'4,M,N,R,T,T1,U,U8b,unclassified,V,W,X2
Human670-QuadCustom_v1_A-b37,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0.666666666666667,1,1,0.978260869565217,0.978260869565217,1,0,0,0,0.933333333333333,0,1,1,1,0,1,0,0,0,0,0
HumanCore-12-v1-0-B-b37,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.666666666666667,1,0,1,0,0,0,0,0,0,0,0,0.962809917355372,1,0,0,0,0,0,0,0
humancore-12v1-0_a-b37,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.666666666666667,1,0,1,0,0,0,0,0,0,0,0,0.962809917355372,1,0,0,0,0,0,0,0
humancore-24-v1-0-manifest-file-a-b37,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0.666666666666667,1,0,1,0,0,0,0,0,0,0,0,0.962809917355372,1,0,0,0,0,0,0,0
HumanCoreExome-12-v1-0-D-b37,1,0,1,0,1,1,0,0,1,1,1,1,1,0.967741935483871,0,1,1,1,1,0.978260869565217,0.978260869565217,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0
HumanCoreExome-12-v1-1-C-b37,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0.978260869565217,0.978260869565217,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0
HumanCoreExome-12v1-0_B-b37,1,0,1,0,1,1,0,0,1,1,1,1,1,0.967741935483871,0,1,1,1,1,0.978260869565217,0.978260869565217,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0
humancoreexome-12v1-0_c-b37,1,0,1,0,1,1,0,0,1,1,1,1,1,0.967741935483871,0,1,1,1,1,0.978260869565217,0.978260869565217,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0
humancoreexome-12v1-1_a-b37,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0.978260869565217,0.978260869565217,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0
HumanCoreExome-12v1-1_B-b37,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0.978260869565217,0.978260869565217,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0
HumanCoreExome-24v1-0_A-b37,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0.666666666666667,1,0,0.978260869565217,0.978260869565217,1,0,0,0.950530035335689,0,0,0,1,1,0,1,0,0,0,0,0
HumanExome-12v1_A-b37,0,0,1,0,0,0.971428571428571,0,0,0.987012987012987,1,1,0,1,1,0,1,0.666666666666667,0,1,0,0.978260869565217,1,0,0,0.975265017667845,0,0,1,0,1,0,1,0,0,0,0,0
HumanExome-12v1-1_A-b37,0,0,1,0,0,0.971428571428571,0,0,0.987012987012987,1,1,0,1,1,0,1,0.666666666666667,0,1,0,0.978260869565217,1,0,0,0.975265017667845,0,0,1,0,1,0,1,0,0,0,0,0
HumanExome-12v1-2_A-b37,0,0,1,0,0,0.971428571428571,0,0,0.987012987012987,1,1,0,1,0,0,1,0.666666666666667,0,1,0,0.978260869565217,1,0,0,0.975265017667845,0,0,1,0,1,0,1,0,0,0,0,0
HumanHap550-2v3_B-b37,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0.666666666666667,1,1,0.978260869565217,0.978260869565217,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0
HumanHap550v3_A-b37,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0.666666666666667,1,1,0.978260869565217,0.978260869565217,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0
HumanHap650Yv3_A-b37,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0.666666666666667,1,1,0.978260869565217,0.978260869565217,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0
HumanOmni1-Quad_v1-0_B-b37,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.978260869565217,0,0,0,0,0,0,0,0,0,0,0.994475138121547,0,1,0,0,0
HumanOmni1-Quad_v1-0_C-b37,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.978260869565217,0,0,0,0,0,0,0,0,0,0,0.994475138121547,0,1,0,0,0
HumanOmni1-Quad_v1-0_H-b37,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.978260869565217,0,0,0,0,0,0,0,0,0,0,0.994475138121547,0,1,0,0,0
humanomni1-quad_v1-0-multi_h-b37,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.978260869565217,0,0,0,0,0,0,0,0,0,0,0.994475138121547,0,1,0,0,0
HumanOmni1S-8v1_H-b37,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.666666666666667,1,1,0.978260869565217,0.978260869565217,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
HumanOmni2-5-8-v1-0-D-b37,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0.978260869565217,0.978260869565217,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
HumanOmni2-5-8-v1-1-C-b37,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0.978260869565217,0.978260869565217,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
HumanOmni2-5-8-v1-2-A-b37,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.666666666666667,1,0,0.978260869565217,0.978260869565217,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
HumanOmni2-5Exome-8-v1-1-A-b37,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0.978260869565217,0.978260869565217,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0
HumanOmni2.5-4v1_B-b37,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.666666666666667,1,1,0.978260869565217,0.978260869565217,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
HumanOmni2.5-4v1_D-b37,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.666666666666667,1,1,0.978260869565217,0.978260869565217,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
HumanOmni2.5-4v1_H-b37,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.666666666666667,1,1,0.978260869565217,0.978260869565217,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
HumanOmni2.5-8v1_A-b37,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0.978260869565217,0.978260869565217,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
HumanOmni2.5-8v1_C-b37,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0.978260869565217,0.978260869565217,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
HumanOmni2.5S-8v1_B-b37,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
HumanOmni25-8v1-1_A-b37,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0.978260869565217,0.978260869565217,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
HumanOmni25-8v1-2_A1-b37,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0.666666666666667,1,0,0.978260869565217,0.978260869565217,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
HumanOmni25Exome-8v1_A-b37,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0.978260869565217,0.978260869565217,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0
humanomni25m-8v1-1_b-b37,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0.978260869565217,0.978260869565217,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
HumanOmni5-4-v1-0-D-b37,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0.978260869565217,0.978260869565217,1,0,0,0,0.933333333333333,0,1,1,1,0,1,0,0,0,0,0
HumanOmni5-4v1_B-b37,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0.978260869565217,0.978260869565217,1,0,0,0,0.933333333333333,0,1,1,1,0,1,0,0,0,0,0
humanomni5-4v1_c-b37,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0.978260869565217,0.978260869565217,1,0,0,0,0.933333333333333,0,1,1,1,0,1,0,0,0,0,0
HumanOmni5-4v1-1_A-b37,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0.666666666666667,1,0,0.978260869565217,0.978260869565217,1,0,0,0,0.933333333333333,0,0,1,1,0,1,0,0,0,0,0
HumanOmni5Exome-4v1_A-b37,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0.978260869565217,0.978260869565217,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0
HumanOmni5Exome-4v1-1_A-b37,1,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0.978260869565217,0.978260869565217,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0
HumanOmni5Exome-4v1-2_A-b37,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0.666666666666667,1,0,0.978260869565217,0.978260869565217,1,0,0,0.950530035335689,0,0,0,1,1,0,1,0,0,0,0,0
HumanOmniExpressExome-8-v1-0-B-b37,0,0,1,0,0,0.971428571428571,0,0,0.987012987012987,1,1,0,1,0,0,1,0.666666666666667,0,1,0,0.978260869565217,1,0,0,0.975265017667845,0,0,1,0,1,0,1,0,0,0,0,0
HumanOmniExpressExome-8-v1-1-C-b37,0,0,1,0,0,0.971428571428571,0,0,0.987012987012987,1,1,0,1,1,0,1,0.666666666666667,0,1,0,0.978260869565217,1,0,0,0.975265017667845,0,0,1,0,1,0,1,0,0,0,0,0
HumanOmniExpressExome-8-v1-2-B-b37,0,0,1,0,0,0.971428571428571,0,0,0.987012987012987,1,1,0,1,0,0,1,0.666666666666667,0,1,0,0.978260869565217,1,0,0,0.975265017667845,0,0,1,0,1,0,1,0,0,0,0,0
HumanOmniExpressExome-8v1_A-b37,0,0,1,0,0,0.971428571428571,0,0,0.987012987012987,1,1,0,1,0,0,1,0.666666666666667,0,1,0,0.978260869565217,1,0,0,0.975265017667845,0,0,1,0,1,0,1,0,0,0,0,0
humanomniexpressexome-8v1-0_a-b37,0,0,1,0,0,0.971428571428571,0,0,0.987012987012987,1,1,0,1,0,0,1,0.666666666666667,0,1,0,0.978260869565217,1,0,0,0.975265017667845,0,0,1,0,1,0,1,0,0,0,0,0
HumanOmniExpressExome-8v1-2_A-b37,0,0,1,0,0,0.971428571428571,0,0,0.987012987012987,1,1,0,1,0,0,1,0.666666666666667,0,1,0,0.978260869565217,1,0,0,0.975265017667845,0,0,1,0,1,0,1,0,0,0,0,0
HumanOmniZhongHua-8v1_B-b37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
humanomnizhonghua-8v1-1_a-b37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
