haplogroup,typed_true,imputed_true,diff
A,0.129140252154712,0.588004843649833,0.458864591495121
B,0.748023124460097,0.78450395375108,0.0364808292909828
C,0.857142857142857,0.95049504950495,0.0933521923620934
D,0.279176736571295,0.684883448974819,0.405706712403524
H,0.313760355627399,0.896100222267125,0.582339866639725
HV,0.253593101245608,0.55381667198978,0.300223570744171
I,0.0297029702970297,0.801980198019802,0.772277227722772
J,0.346534653465347,0.928586475668843,0.582051822203497
JT,0.759075907590759,0.749174917491749,-0.00990099009900991
K,0.744612696563774,0.925160163075131,0.180547466511357
L,0.445064335249502,0.902797983079335,0.457733647829833
M,0.0494066776404688,0.954622509397342,0.905215831756873
N,0.736853685368537,0.798239823982398,0.0613861386138613
R,0.746338270190655,0.757057523934212,0.0107192537435562
T,0.755895589558956,0.866606660666067,0.110711071107111
U,0.891197910999891,0.942008486562942,0.0508105755630508
unclassified,0.128712871287129,0.0693069306930693,-0.0594059405940594
V,0,0.83539603960396,0.83539603960396
W,0.0582178217821782,0.817029702970297,0.758811881188119
X,0.0198019801980198,0.0198019801980198,0
