array,kHAP,imputed,mean.info,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
BDCHP-1X10-HUMANHAP240S_11216501_A-b37,100,TRUE,0.894934,198,229,73,500,492,0.98973954222573,0.998421468034728
BDCHP-1x10-HUMANHAP300v1-1_11219278_C-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanHap300v2_A-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanCNV370v1_C-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanCNV370-Quadv3_C-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
BDCHP-1X10-HUMANHAP550_11218540_C-b37,100,TRUE,0.811135593220339,306,121,45,472,441,0.527624309392265,0.972770323599053
HumanHap550-2v3_B-b37,100,TRUE,0.78074678111588,312,115,39,466,428,0.524072612470402,0.970007892659826
HumanHap550v3_A-b37,100,TRUE,0.780111587982833,312,115,39,466,429,0.523283346487766,0.970007892659826
Human610-Quadv1_B-b37,100,TRUE,0.752849344978166,337,90,31,458,411,0.388318863456985,0.932517758484609
human610-quadv1_h-b37,100,TRUE,0.752622270742358,337,90,31,458,411,0.388318863456985,0.93646408839779
HumanHap650Yv3_A-b37,100,TRUE,0.780330472103004,312,115,39,466,428,0.523283346487766,0.970007892659826
Human660W-Quad_v1_A-b37,100,TRUE,0.753652173913044,339,88,33,460,414,0.388318863456985,0.937253354380426
Human660W-Quad_v1_C-b37,100,TRUE,0.753652173913044,339,88,33,460,414,0.388318863456985,0.937253354380426
human660w-quad_v1_h-b37,100,TRUE,0.753447826086956,339,88,33,460,411,0.388318863456985,0.934885556432518
Human670-QuadCustom_v1_A-b37,100,TRUE,0.753447826086956,339,88,33,460,411,0.388318863456985,0.934885556432518
HumanOmniExpress-12v1_A-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_A-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_B-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-1_B-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1-Multi_C-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_H-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-12v1_J-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-12v1_j_ffpe-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24v1-0_a-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
humanomniexpress-24-v1-1-a-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpress-24-v1-0-B-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
InfiniumOmniExpress-24v1-2_A1-b37,100,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpressExome-8v1_A-b37,100,TRUE,0.783776041666667,355,72,149,576,519,0.490923441199684,0.894238358326756
humanomniexpressexome-8v1-0_a-b37,100,TRUE,0.783637152777778,355,72,149,576,518,0.490923441199684,0.889897395422257
HumanOmniExpressExome-8-v1-0-B-b37,100,TRUE,0.783637152777778,355,72,149,576,518,0.490923441199684,0.889897395422257
HumanOmniExpressExome-8v1-2_A-b37,100,TRUE,0.752968421052632,359,68,143,570,496,0.490923441199684,0.872138910812944
HumanOmniExpressExome-8-v1-2-B-b37,100,TRUE,0.752582456140351,359,68,143,570,495,0.490923441199684,0.867403314917127
OmniExpressExome-8v1-1_A-b37,100,TRUE,0.763474516695958,358,69,142,569,501,0.503157063930545,0.881610102604578
OmniExpressExome-8v1-1_B-b37,100,TRUE,0.763474516695958,358,69,142,569,501,0.503157063930545,0.881610102604578
HumanOmniExpressExome-8-v1-1-C-b37,100,TRUE,0.76388927943761,358,69,142,569,501,0.503157063930545,0.882794001578532
InfiniumOmniExpressExome-8v1-3_A-b37,100,TRUE,0.756029876977153,358,69,142,569,494,0.411996842936069,0.877269139700079
InfiniumOmniExpressExome-8v1-4_A1-b37,100,TRUE,0.751301953818828,358,69,136,563,485,0.399763220205209,0.889108129439621
HumanOmni25Exome-8v1_A-b37,100,TRUE,0.880852534562212,296,131,224,651,624,0.589187056037885,0.940015785319653
HumanOmni2-5Exome-8-v1-1-A-b37,100,TRUE,0.873853395061728,297,130,221,648,622,0.589187056037885,0.943567482241515
InfiniumOmni2.5Exome-8v1-2_A-b37,100,TRUE,0.859004716981132,312,115,209,636,599,0.471586424625099,0.923046566692976
InfiniumOmni2-5Exome-8v1-3_A1-b37,100,TRUE,0.877744221879815,298,129,222,649,624,0.524467245461721,0.949881610102605
HumanOmniZhongHua-8v1_B-b37,100,TRUE,0.462586956521739,389,38,79,506,280,0.0497237569060773,0.428966061562747
humanomnizhonghua-8v1-1_a-b37,100,TRUE,0.398845238095238,392,35,77,504,230,0.0686661404893449,0.730465666929755
HumanOmniZhongHua-8v1-2_A-b37,100,TRUE,0.368979919678715,398,29,71,498,209,0.0686661404893449,0.730071033938437
InfiniumOmniZhongHua-8v1-3_A1-b37,100,TRUE,0.350984,401,26,73,500,199,0.0686661404893449,0.724546172059984
InfiniumOmniZhongHua-8v1-3_A2-b37,100,TRUE,0.350984,401,26,73,500,199,0.0686661404893449,0.724546172059984
Human1Mv1_C-b37,100,TRUE,0.78055364806867,312,115,39,466,428,0.523283346487766,0.96921862667719
Human1M-Duov3_B-b37,100,TRUE,0.75343231441048,337,90,31,458,409,0.388318863456985,0.934096290449882
Human1M-Duov3_C-b37,100,TRUE,0.753305676855895,337,90,31,458,409,0.388318863456985,0.932912391475927
human1m-duov3_h-b37,100,TRUE,0.75324672489083,337,90,31,458,410,0.388318863456985,0.935280189423836
HumanOmni1-Quad_v1-0_B-b37,100,TRUE,0.389949191685912,409,18,6,433,209,0.12904498816101,0.543409629044988
HumanOmni1-Quad_v1-0_C-b37,100,TRUE,0.389949191685912,409,18,6,433,209,0.12904498816101,0.543409629044988
HumanOmni1-Quad_v1-0_H-b37,100,TRUE,0.390360277136259,409,18,6,433,210,0.12904498816101,0.541831097079716
humanomni1-quad_v1-0-multi_h-b37,100,TRUE,0.389949191685912,409,18,6,433,209,0.12904498816101,0.543409629044988
HumanOmni1S-8v1_H-b37,100,TRUE,0.699196868008949,363,64,20,447,378,0.36266771902131,0.902131018153118
Human1-2M-DuoCustom_v1_A-b37,100,TRUE,0.754182608695652,339,88,33,460,413,0.388318863456985,0.936069455406472
HumanOmni2.5-4v1_B-b37,100,TRUE,0.699563758389262,363,64,20,447,377,0.36266771902131,0.900552486187845
HumanOmni2.5-4v1_D-b37,100,TRUE,0.699196868008949,363,64,20,447,378,0.36266771902131,0.902131018153118
HumanOmni2.5-4v1_H-b37,100,TRUE,0.699527964205817,363,64,20,447,376,0.36266771902131,0.909629044988161
HumanOmni2.5-8v1_A-b37,100,TRUE,0.828256120527307,324,103,104,531,499,0.355169692186267,0.93843725335438
HumanOmni2-5-8-v1-0-D-b37,100,TRUE,0.829227871939736,324,103,104,531,501,0.355169692186267,0.938831886345698
