array,MAF,imputed,mean.info,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc,kHAP
HumanOmni2.5S-8v1_B-b37,NA,TRUE,0.421105504587156,405,22,9,436,229,0.0485398579321231,0.64956590370955,1000
HumanOmni25-8v1-2_A1-b37,NA,TRUE,0.649856299212598,355,72,81,508,380,0.326361483820047,0.851223362273086,1000
InfiniumOmni2-5-8v1-3_A1-b37,NA,TRUE,0.697840690978887,343,84,94,521,429,0.363062352012628,0.913180741910024,1000
HumanOmni5-4v1_B-b37,NA,TRUE,0.766617100371747,310,117,111,538,471,0.389502762430939,0.938042620363062,1000
humanomni5-4v1_c-b37,NA,TRUE,0.766617100371747,310,117,111,538,471,0.389502762430939,0.938042620363062,1000
HumanOmni5-4-v1-0-D-b37,NA,TRUE,0.766788104089219,310,117,111,538,472,0.389502762430939,0.937253354380426,1000
HumanOmni5-4v1-1_A-b37,NA,TRUE,0.701032567049808,338,89,95,522,417,0.335832675611681,0.888713496448303,1000
InfiniumOmni5-4v1-2_A1-b37,NA,TRUE,0.741224952741021,321,106,102,529,456,0.381610102604578,0.932517758484609,1000
HumanOmni5Exome-4v1_A-b37,NA,TRUE,0.843658170914543,274,153,240,667,612,0.632202052091555,0.949881610102605,1000
HumanOmni5Exome-4v1-1_A-b37,NA,TRUE,0.84447209653092,276,151,236,663,610,0.644830307813733,0.950670876085241,1000
HumanOmni5Exome-4v1-2_A-b37,NA,TRUE,0.803530959752322,304,123,219,646,576,0.567087608524073,0.887529597474349,1000
InfiniumOmni5Exome-4v1-3_A1-b37,NA,TRUE,0.83020245398773,280,147,225,652,595,0.563930544593528,0.964483030781373,1000
HumanCytoSNP-12v1-0_D-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1000
HumanCytoSNP-12v2.1-FFPE_G-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1000
humancytosnp-12v2_h-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1000
humancytosnp-12v2-1_h-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1000
humancytosnp-12v2-1_l-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1000
cytosnp-850k_b-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1000
CytoSNP-850K_v1-1_iScan_A1-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1000
humancore-12v1-0_a-b37,NA,TRUE,0.7159140625,342,85,85,512,426,0.207971586424625,0.842936069455406,1000
HumanCore-12-v1-0-B-b37,NA,TRUE,0.716025390625,342,85,85,512,425,0.207971586424625,0.843330702446725,1000
humancore-24-v1-0-manifest-file-a-b37,NA,TRUE,0.71672265625,343,84,85,512,425,0.207971586424625,0.841357537490134,1000
InfiniumCore-24v1-1_A1-b37,NA,TRUE,0.690737769080235,353,74,84,511,419,0.207971586424625,0.833070244672455,1000
Immuno_BeadChip_11419691_B-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1000
InfiniumImmunoArray-24v2-0_A-b37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1000
Multi-EthnicGlobal_A1-b37,NA,TRUE,0.883746428571429,242,185,413,840,786,0.698500394632991,0.983820047355959,1000
HumanExome-12v1_A-b37,NA,TRUE,0.710828970331588,354,73,146,573,477,0.503157063930545,0.820047355958958,1000
HumanExome-12v1-1_A-b37,NA,TRUE,0.698535087719298,358,69,143,570,463,0.503157063930545,0.849644830307814,1000
HumanExome-12v1-2_A-b37,NA,TRUE,0.690914035087719,359,68,143,570,457,0.507892659826361,0.86069455406472,1000
InfiniumExome-24v1-1_A1-b37,NA,TRUE,0.682196808510638,360,67,137,564,440,0.40568271507498,0.870560378847672,1000
HumanCoreExome-12v1-0_B-b37,NA,TRUE,0.832608895705521,282,145,225,652,592,0.651144435674822,0.968429360694554,1000
humancoreexome-12v1-0_c-b37,NA,TRUE,0.832458588957055,282,145,225,652,592,0.651144435674822,0.969613259668508,1000
HumanCoreExome-12-v1-0-D-b37,NA,TRUE,0.832458588957055,282,145,225,652,592,0.651144435674822,0.969613259668508,1000
humancoreexome-12v1-1_a-b37,NA,TRUE,0.826737003058104,287,140,227,654,590,0.63930544593528,0.940015785319653,1000
