seqID,Country
AP008416.1,NA
AP008417.1,NA
AP008418.1,NA
AP008419.1,NA
AP008420.1,NA
AP008421.1,NA
AP008422.1,NA
AP008424.1,NA
AP008426.1,NA
AP008427.1,NA
AP008428.1,NA
AP008429.1,NA
AP008430.1,NA
AP008431.1,NA
AP008432.1,NA
AP008433.1,NA
AP008434.1,NA
AP008435.1,NA
AP008437.1,NA
AP008438.1,NA
AP008439.1,NA
AP008440.1,NA
AP008441.1,NA
AP008442.1,NA
AP008443.1,NA
AP008444.1,NA
AP008445.1,NA
AP008446.1,NA
AP008447.1,NA
AP008448.1,NA
AP008449.1,NA
AP008452.1,NA
AP008453.1,NA
AP008454.1,NA
AP008455.1,NA
AP008456.1,NA
AP008457.1,NA
AP008458.1,NA
AP008459.1,NA
AP008460.1,NA
AP008461.1,NA
AP008462.1,NA
AP008463.1,NA
AP008464.1,NA
AP008466.1,NA
AP008467.1,NA
AP008468.1,NA
AP008469.1,NA
AP008471.1,NA
AP008473.1,NA
AP008474.1,NA
AP008475.1,NA
AP008476.1,NA
AP008477.1,NA
AP008478.1,NA
AP008479.1,NA
AP008480.1,NA
AP008481.1,NA
AP008483.1,NA
AP008484.1,NA
AP008485.1,NA
AP008486.1,NA
AP008487.1,NA
AP008489.1,NA
AP008490.1,NA
AP008493.1,NA
AP008494.1,NA
AP008495.1,NA
AP008496.1,NA
AP008497.1,NA
AP008498.1,NA
AP008499.1,NA
AP008500.1,NA
AP008501.1,NA
AP008502.1,NA
AP008503.1,NA
AP008504.1,NA
AP008505.1,NA
AP008506.1,NA
AP008507.1,NA
AP008508.1,NA
AP008509.1,NA
AP008510.1,NA
AP008511.1,NA
AP008513.1,NA
AP008514.1,NA
AP008515.1,NA
AP008517.1,NA
AP008519.1,NA
AP008520.1,NA
AP008522.1,NA
AP008523.1,NA
AP008524.1,NA
AP008525.1,NA
AP008526.1,NA
AP008527.1,NA
AP008528.1,NA
AP008529.1,NA
AP008530.1,NA
AP008531.1,NA
AP008532.1,NA
AP008533.1,NA
AP008534.1,NA
AP008535.1,NA
AP008536.1,NA
AP008537.1,NA
AP008538.1,NA
AP008539.1,NA
AP008541.1,NA
AP008542.1,NA
AP008543.1,NA
AP008544.1,NA
AP008545.1,NA
AP008547.1,NA
AP008548.1,NA
AP008549.1,NA
AP008551.1,NA
AP008553.1,NA
AP008554.1,NA
AP008555.1,NA
AP008556.1,NA
AP008557.1,NA
AP008558.1,NA
AP008559.1,NA
AP008560.1,NA
AP008561.1,NA
AP008562.1,NA
AP008564.1,NA
AP008565.1,NA
AP008568.1,NA
AP008569.1,NA
AP008571.1,NA
AP008572.1,NA
AP008573.1,NA
AP008574.1,NA
AP008575.1,NA
AP008576.1,NA
AP008577.1,NA
AP008578.1,NA
AP008579.1,NA
AP008581.1,NA
AP008582.1,NA
AP008583.1,NA
AP008585.1,NA
AP008586.1,NA
AP008587.1,NA
AP008588.1,NA
AP008589.1,NA
AP008590.1,NA
AP008591.1,NA
AP008592.1,NA
AP008593.1,NA
AP008596.1,NA
AP008598.1,NA
AP008599.1,NA
AP008600.1,NA
AP008602.1,NA
AP008605.1,NA
AP008606.1,NA
AP008607.1,NA
AP008608.1,NA
AP008609.1,NA
AP008610.1,NA
AP008611.1,NA
AP008612.1,NA
AP008613.1,NA
AP008614.1,NA
AP008615.1,NA
AP008616.1,NA
AP008617.1,NA
AP008618.1,NA
AP008619.1,NA
AP008620.1,NA
AP008621.1,NA
AP008622.1,NA
AP008623.1,NA
AP008624.1,NA
AP008625.1,NA
AP008626.1,NA
AP008627.1,NA
AP008628.1,NA
AP008629.1,NA
AP008630.1,NA
AP008632.1,NA
AP008633.1,NA
AP008634.1,NA
AP008635.1,NA
AP008636.1,NA
AP008637.1,NA
AP008638.1,NA
AP008639.1,NA
AP008641.1,NA
AP008642.1,NA
AP008643.1,NA
AP008644.1,NA
AP008645.1,NA
AP008646.1,NA
AP008647.1,NA
AP008648.1,NA
AP008649.1,NA
AP008651.1,NA
AP008652.1,NA
AP008653.1,NA
AP008655.1,NA
AP008656.1,NA
AP008657.1,NA
AP008658.1,NA
AP008659.1,NA
AP008660.1,NA
AP008662.1,NA
AP008663.1,NA
AP008664.1,NA
AP008666.1,NA
AP008667.1,NA
AP008668.1,NA
AP008670.1,NA
AP008671.1,NA
AP008672.1,NA
AP008673.1,NA
AP008674.1,NA
AP008675.1,NA
AP008676.1,NA
AP008677.1,NA
AP008678.1,NA
AP008679.1,NA
AP008680.1,NA
AP008681.1,NA
AP008683.1,NA
AP008684.1,NA
AP008685.1,NA
AP008686.1,NA
AP008689.1,NA
AP008690.1,NA
AP008691.1,NA
AP008692.1,NA
AP008693.1,NA
AP008694.1,NA
AP008695.1,NA
AP008696.1,NA
AP008697.1,NA
AP008698.1,NA
AP008699.1,NA
AP008700.1,NA
AP008701.1,NA
AP008702.1,NA
AP008703.1,NA
AP008704.1,NA
AP008705.1,NA
AP008706.1,NA
AP008707.1,NA
AP008709.1,NA
AP008710.1,NA
AP008711.1,NA
AP008713.1,NA
AP008714.1,NA
AP008715.1,NA
AP008716.1,NA
AP008717.1,NA
AP008718.1,NA
AP008719.1,NA
AP008720.1,NA
AP008721.1,NA
AP008722.1,NA
AP008723.1,NA
AP008724.1,NA
AP008725.1,NA
AP008726.1,NA
AP008727.1,NA
AP008728.1,NA
AP008729.1,NA
AP008730.1,NA
AP008731.1,NA
AP008732.1,NA
AP008733.1,NA
AP008734.1,NA
AP008735.1,NA
AP008736.1,NA
AP008738.1,NA
AP008739.1,NA
AP008740.1,NA
AP008741.1,NA
AP008742.1,NA
AP008743.1,NA
AP008744.1,NA
AP008745.1,NA
AP008746.1,NA
AP008747.1,NA
AP008748.1,NA
AP008749.1,NA
AP008750.1,NA
AP008752.1,NA
AP008753.1,NA
AP008754.1,NA
AP008755.1,NA
AP008756.1,NA
AP008757.1,NA
AP008758.1,NA
AP008759.1,NA
AP008760.1,NA
AP008761.1,NA
AP008762.1,NA
AP008763.1,NA
AP008764.1,NA
AP008765.1,NA
AP008766.1,NA
AP008767.1,NA
AP008768.1,NA
AP008769.1,NA
AP008770.1,NA
AP008771.1,NA
AP008772.1,NA
AP008773.1,NA
AP008774.1,NA
AP008775.1,NA
AP008776.1,NA
AP008777.1,NA
AP008778.1,NA
AP008779.1,NA
AP008780.1,NA
AP008782.1,NA
AP008783.1,NA
AP008784.1,NA
AP008785.1,NA
AP008786.1,NA
AP008787.1,NA
AP008789.1,NA
AP008790.1,NA
AP008791.1,NA
AP008792.1,NA
AP008794.1,NA
AP008795.1,NA
AP008796.1,NA
AP008797.1,NA
AP008798.1,NA
AP008799.1,NA
AP008800.1,NA
AP008801.1,NA
AP008803.1,NA
AP008804.1,NA
AP008805.1,NA
AP008806.1,NA
AP008807.1,NA
AP008808.1,NA
AP008809.1,NA
AP008810.1,NA
AP008811.1,NA
AP008812.1,NA
AP008813.1,NA
AP008814.1,NA
AP008815.1,NA
AP008816.1,NA
AP008817.1,NA
AP008818.1,NA
AP008819.1,NA
AP008820.1,NA
AP008821.1,NA
AP008822.1,NA
AP008823.1,NA
AP008824.1,NA
AP008825.1,NA
AP008826.1,NA
AP008828.1,NA
AP008829.1,NA
AP008830.1,NA
AP008832.1,NA
AP008833.1,NA
AP008834.1,NA
AP008835.1,NA
AP008836.1,NA
AP008837.1,NA
AP008838.1,NA
AP008839.1,NA
AP008840.1,NA
AP008841.1,NA
AP008843.1,NA
AP008844.1,NA
AP008845.1,NA
AP008849.1,NA
AP008850.1,NA
AP008851.1,NA
AP008853.1,NA
AP008854.1,NA
AP008855.1,NA
AP008857.1,NA
AP008858.1,NA
AP008859.1,NA
AP008860.1,NA
AP008861.1,NA
AP008862.1,NA
AP008863.1,NA
AP008864.1,NA
AP008865.1,NA
AP008866.1,NA
AP008867.1,NA
AP008868.1,NA
AP008869.1,NA
AP008870.1,NA
AP008871.1,NA
AP008872.1,NA
AP008873.1,NA
AP008874.1,NA
AP008876.1,NA
AP008877.1,NA
AP008878.1,NA
AP008880.1,NA
AP008881.1,NA
AP008882.1,NA
AP008883.1,NA
AP008884.1,NA
AP008885.1,NA
AP008886.1,NA
AP008887.1,NA
AP008888.1,NA
AP008890.1,NA
AP008891.1,NA
AP008892.1,NA
AP008893.1,NA
AP008894.1,NA
AP008895.1,NA
AP008896.1,NA
AP008897.1,NA
AP008901.1,NA
AP008902.1,NA
AP008903.1,NA
AP008905.1,NA
AP008906.1,NA
AP008907.1,NA
AP008908.1,NA
AP008909.1,NA
AP008911.1,NA
AP008913.1,NA
AP008915.1,NA
AP008916.1,NA
AP008918.1,NA
AP008919.1,NA
AP009419.1,NA
AP009420.1,NA
AP009421.1,NA
AP009422.1,NA
AP009423.1,NA
AP009424.1,NA
AP009426.1,NA
AP009427.1,NA
AP009428.1,NA
AP009429.1,NA
AP009430.1,NA
AP009431.1,NA
AP009432.1,NA
AP009433.1,NA
AP009434.1,NA
AP009435.1,NA
AP009437.1,NA
AP009438.1,NA
AP009439.1,NA
AP009440.1,NA
AP009441.1,NA
AP009442.1,NA
AP009443.1,NA
AP009445.1,NA
AP009446.1,NA
AP009447.1,NA
AP009448.1,NA
AP009451.1,NA
AP009452.1,NA
AP009453.1,NA
AP009454.1,NA
AP009455.1,NA
AP009458.1,NA
AP009459.1,NA
AP009460.1,NA
AP009462.1,NA
AP009464.1,NA
AP009465.1,NA
AP009466.1,NA
AP009467.1,NA
