array,MAF,imputed,mean.info,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
HumanOmniExpress-24-v1-0-B-b37,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
InfiniumOmniExpress-24v1-2_A1-b37,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
HumanOmniExpressExome-8v1_A-b37,0.05,TRUE,0.745930555555556,355,72,149,576,498,0.490923441199684,0.866614048934491
humanomniexpressexome-8v1-0_a-b37,0.05,TRUE,0.746102430555556,355,72,149,576,498,0.490923441199684,0.867008681925809
HumanOmniExpressExome-8-v1-0-B-b37,0.05,TRUE,0.746125,355,72,149,576,498,0.490923441199684,0.866614048934491
HumanOmniExpressExome-8v1-2_A-b37,0.05,TRUE,0.719171929824561,359,68,143,570,472,0.490923441199684,0.865035516969219
HumanOmniExpressExome-8-v1-2-B-b37,0.05,TRUE,0.719024561403509,359,68,143,570,471,0.490923441199684,0.859905288082084
OmniExpressExome-8v1-1_A-b37,0.05,TRUE,0.728274165202109,358,69,142,569,477,0.503157063930545,0.872138910812944
OmniExpressExome-8v1-1_B-b37,0.05,TRUE,0.728203866432337,358,69,142,569,477,0.503157063930545,0.872138910812944
HumanOmniExpressExome-8-v1-1-C-b37,0.05,TRUE,0.728203866432337,358,69,142,569,477,0.503157063930545,0.872138910812944
InfiniumOmniExpressExome-8v1-3_A-b37,0.05,TRUE,0.72386467486819,358,69,142,569,468,0.411996842936069,0.870165745856354
InfiniumOmniExpressExome-8v1-4_A1-b37,0.05,TRUE,0.71956838365897,358,69,136,563,460,0.399763220205209,0.888713496448303
HumanOmni25Exome-8v1_A-b37,0.05,TRUE,0.850152073732719,296,131,224,651,609,0.5982636148382,0.950670876085241
HumanOmni2-5Exome-8-v1-1-A-b37,0.05,TRUE,0.842567901234568,297,130,221,648,603,0.589187056037885,0.948303078137332
InfiniumOmni2.5Exome-8v1-2_A-b37,0.05,TRUE,0.831292452830189,312,115,209,636,585,0.471586424625099,0.920284135753749
InfiniumOmni2-5Exome-8v1-3_A1-b37,0.05,TRUE,0.84708782742681,298,129,222,649,607,0.524467245461721,0.941988950276243
HumanOmniZhongHua-8v1_B-b37,0.05,TRUE,0.443752964426877,389,38,79,506,267,0.0686661404893449,0.669692186266772
humanomnizhonghua-8v1-1_a-b37,0.05,TRUE,0.384263888888889,392,35,77,504,213,0.668508287292818,0.783346487766377
HumanOmniZhongHua-8v1-2_A-b37,0.05,TRUE,0.357694779116466,398,29,71,498,198,0.668508287292818,0.77861089187056
InfiniumOmniZhongHua-8v1-3_A1-b37,0.05,TRUE,0.339576,401,26,73,500,187,0.668508287292818,0.775453827940016
InfiniumOmniZhongHua-8v1-3_A2-b37,0.05,TRUE,0.339582,401,26,73,500,186,0.668508287292818,0.775453827940016
Human1Mv1_C-b37,0.05,TRUE,0.739339055793991,312,115,39,466,399,0.524072612470402,0.977900552486188
Human1M-Duov3_B-b37,0.05,TRUE,0.712868995633188,337,90,31,458,379,0.389108129439621,0.931728492501973
Human1M-Duov3_C-b37,0.05,TRUE,0.712775109170306,337,90,31,458,380,0.389108129439621,0.931333859510655
human1m-duov3_h-b37,0.05,TRUE,0.712921397379913,337,90,31,458,379,0.389108129439621,0.941594317284925
HumanOmni1-Quad_v1-0_B-b37,0.05,TRUE,0.380884526558891,409,18,6,433,205,0.12904498816101,0.521704814522494
HumanOmni1-Quad_v1-0_C-b37,0.05,TRUE,0.380817551963049,409,18,6,433,205,0.12904498816101,0.522099447513812
HumanOmni1-Quad_v1-0_H-b37,0.05,TRUE,0.380891454965358,409,18,6,433,205,0.12904498816101,0.521704814522494
humanomni1-quad_v1-0-multi_h-b37,0.05,TRUE,0.380886836027714,409,18,6,433,205,0.12904498816101,0.521704814522494
HumanOmni1S-8v1_H-b37,0.05,TRUE,0.6582774049217,363,64,20,447,350,0.36266771902131,0.906077348066298
Human1-2M-DuoCustom_v1_A-b37,0.05,TRUE,0.713773913043478,339,88,33,460,382,0.389108129439621,0.932517758484609
HumanOmni2.5-4v1_B-b37,0.05,TRUE,0.658373601789709,363,64,20,447,350,0.36266771902131,0.906077348066298
HumanOmni2.5-4v1_D-b37,0.05,TRUE,0.658519015659955,363,64,20,447,350,0.36266771902131,0.906471981057616
HumanOmni2.5-4v1_H-b37,0.05,TRUE,0.658042505592841,363,64,20,447,350,0.36266771902131,0.906471981057616
HumanOmni2.5-8v1_A-b37,0.05,TRUE,0.785866290018832,324,103,104,531,480,0.355169692186267,0.942778216258879
HumanOmni2-5-8-v1-0-D-b37,0.05,TRUE,0.785919020715631,324,103,104,531,480,0.355169692186267,0.943567482241515
HumanOmni25-8v1-1_A-b37,0.05,TRUE,0.772544761904762,333,94,98,525,467,0.355169692186267,0.937253354380426
HumanOmni2-5-8-v1-2-A-b37,0.05,TRUE,0.676312992125984,355,72,81,508,396,0.326361483820047,0.876085240726125
humanomni25m-8v1-1_b-b37,0.05,TRUE,0.772289523809524,333,94,98,525,466,0.355169692186267,0.938042620363062
HumanOmni2.5-8v1_C-b37,0.05,TRUE,0.786551789077213,324,103,104,531,481,0.355169692186267,0.941199684293607
HumanOmni2-5-8-v1-1-C-b37,0.05,TRUE,0.772369523809524,333,94,98,525,467,0.355169692186267,0.937253354380426
HumanOmni2.5S-8v1_B-b37,0.05,TRUE,0.448135321100917,405,22,9,436,244,0.0485398579321231,0.655485398579321
HumanOmni25-8v1-2_A1-b37,0.05,TRUE,0.676629921259843,355,72,81,508,398,0.326361483820047,0.876479873717443
InfiniumOmni2-5-8v1-3_A1-b37,0.05,TRUE,0.731861804222649,343,84,94,521,450,0.363062352012628,0.92817679558011
HumanOmni5-4v1_B-b37,0.05,TRUE,0.80457063197026,310,117,111,538,492,0.389502762430939,0.941594317284925
humanomni5-4v1_c-b37,0.05,TRUE,0.804697026022305,310,117,111,538,492,0.389502762430939,0.941199684293607
HumanOmni5-4-v1-0-D-b37,0.05,TRUE,0.80478624535316,310,117,111,538,491,0.389502762430939,0.941594317284925
HumanOmni5-4v1-1_A-b37,0.05,TRUE,0.740775862068966,338,89,95,522,442,0.335832675611681,0.894238358326756
InfiniumOmni5-4v1-2_A1-b37,0.05,TRUE,0.782790170132325,321,106,102,529,477,0.381610102604578,0.931333859510655
HumanOmni5Exome-4v1_A-b37,0.05,TRUE,0.867211394302849,274,153,240,667,626,0.623125493291239,0.945540647198106
HumanOmni5Exome-4v1-1_A-b37,0.05,TRUE,0.868521870286576,276,151,236,663,625,0.644830307813733,0.954617205998421
